images_list,name,color,price,desc
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Stunner Puffer Jacket,Black,€‌585.00,"This is what the future of fashion looks like — luxe, jaw-dropping, perfectly structured & so elevated. The Stunner Puffer Jacket attracts endless admiration & compliments, thanks to super-glossy, lightweight woven fabric and bungees at the hood, waist & sleeves for just-right contouring. A structured hood & high front collar perfectly frame the face and elevated seam details complete the look."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Knock Out Faux Fur Jacket,Black,€‌435.00,"There are no words for how cool this look is, but we’ll try: the Knock Out Faux Fur Jacket is an instant icon, courtesy of luxe faux fur and faux leather inset design. Welt zip pockets keep your stuff secure and a sleek, satin-like lining completes the look."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",VIP Blazer Trench,Black,€‌280.00,"You’ve reached VIP status. The VIP Blazer Trench is a full-length outerwear staple done in comfy, heavyweight fleece that keeps the core toasty in colder months. This blazer-inspired design features a single-button front opening, side-entry welt pockets and a relaxed fit meant for layering over other Alo essentials when hitting the streets."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Sherpa Stage Puffer,Camel,€‌270.00,"The moment temps begin to drop, reach for the Sherpa Stage Puffer. It’s an ultra-warm, structured puffer jacket fully lined in our cozy, premium sherpa fabric, with a full-zip closure and zippered  side pockets that keeps hands warmly insulated. Complete with a tall, stand-up collar, bundling up in this textured, fleecy favorite has never felt better."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Corduroy Stage Puffer,Core: Bone,€‌290.00,"Stand out and stay warm in the Corduroy Stage Puffer. It has a cozy, insulated body, padded corduroy exterior and zippered side pockets—a must for making the to-and-from as toasty as possible. A heavyweight, slightly oversized, wind-and-weather-proof coat worthy of your year-round rotation."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Repeat Running Jacket,Core: Gravel,€‌165.00,"Studio. Street. Chill. Repeat. The Repeat Running Jacket, made from high-tech, ripstop fabric, is the perfect lightweight jacket for morning runs or making moves all day. A vented back gives extra airflow for comfort, while a 3-panel hood with Alo-logo bungee closure in the back keeps you covered. Two pockets hold all your essentials — plus, this weightless jacket compresses for convenient travel."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Ripstop 1/4 Zip On-Set Jacket,Core,€‌175.00,"Keep it top-notch from the top down with the Ripstop ¼ Zip On-Set Jacket, made from high-tech, water-resistant ripstop fabric. A bungee drawcord easily locks in heat in cooler weather while the handy front pocket keeps small essentials secure at the gym or on the streets. Lightweight, on-point and perfect for on-the-go when paired with performance bottoms."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Oversized Faux Fur Trench,Ivory,€‌470.00,"The new, insanely soft & touchable Oversized Faux Fur Trench takes the beloved silhouette of our Oversized Sherpa Trench and remixed it in the softest faux fur you’ve ever felt, with an open front, zippered pockets, a notched collar and sleek, satiny lining. Keep this classic on hand all season long and layer over your fave hoodie for some street edge."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Oversized Faux Fur Trench,Chocolate,€‌470.00,"The new, insanely soft & touchable Oversized Faux Fur Trench takes the beloved silhouette of our Oversized Sherpa Trench and remixed it in the softest faux fur you’ve ever felt, with an open front, zippered pockets, a notched collar and sleek, satiny lining. Keep this classic on hand all season long and layer over your fave hoodie for some street edge."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Repeat Running Jacket,Core: Black,€‌165.00,"Studio. Street. Chill. Repeat. The Repeat Running Jacket, made from high-tech, ripstop fabric, is the perfect lightweight jacket for morning runs or making moves all day. A vented back gives extra airflow for comfort, while a 3-panel hood with Alo-logo bungee closure in the back keeps you covered. Two pockets hold all your essentials — plus, this weightless jacket compresses for convenient travel."
